Date|Open|High|Low|Close|Volume|Market Cap
Dec 01, 2016|0.065726|0.067690|0.062996|0.064395|1,059|203,061
Nov 30, 2016|0.064159|0.067095|0.060924|0.064518|1,227|198,128
Nov 29, 2016|0.064006|0.064194|0.060156|0.064168|1,038|197,557
Nov 28, 2016|0.062550|0.064966|0.062498|0.064002|978|192,969
Nov 27, 2016|0.057395|0.067129|0.057121|0.062546|1,680|176,974
Nov 26, 2016|0.061252|0.061293|0.048045|0.057413|1,368|188,769
Nov 25, 2016|0.060653|0.061249|0.058600|0.061249|303|186,813
Nov 24, 2016|0.061979|0.062886|0.059137|0.060666|330|190,790
Nov 23, 2016|0.061336|0.064939|0.059572|0.062052|1,273|188,708
Nov 22, 2016|0.065648|0.068813|0.064020|0.065498|1,152|201,860
Nov 21, 2016|0.068172|0.068413|0.064179|0.065678|716|209,507
Nov 20, 2016|0.070354|0.075050|0.065633|0.068169|1,180|216,095
Nov 19, 2016|0.071659|0.074579|0.068467|0.070349|140|219,984
Nov 18, 2016|0.071229|0.072773|0.068347|0.071677|243|218,536
Nov 17, 2016|0.073500|0.075134|0.071077|0.071265|204|225,374
Nov 16, 2016|0.071423|0.076423|0.068221|0.073505|1,675|218,882
Nov 15, 2016|0.069237|0.071835|0.066366|0.071469|585|212,064
Nov 14, 2016|0.069936|0.070949|0.067356|0.069195|325|214,084
Nov 13, 2016|0.072784|0.074007|0.068628|0.069942|604|222,676
Nov 12, 2016|0.072958|0.073121|0.070503|0.072786|98|223,072
Nov 11, 2016|0.069268|0.072959|0.068191|0.072959|751|211,664
Nov 10, 2016|0.070263|0.071152|0.067561|0.069261|854|214,579
Nov 09, 2016|0.071325|0.073318|0.066378|0.070251|1,014|217,699
Nov 08, 2016|0.074859|0.078405|0.063883|0.071347|2,763|228,358
Nov 07, 2016|0.075670|0.076599|0.074161|0.074833|1,120|230,703
Nov 06, 2016|0.076447|0.084220|0.075148|0.075695|1,326|232,935
Nov 05, 2016|0.077591|0.080901|0.072090|0.076451|1,613|236,289
Nov 04, 2016|0.074865|0.080842|0.073250|0.073250|954|227,870
Nov 03, 2016|0.081976|0.084577|0.071618|0.074830|1,520|249,386
