#|Name|Symbol|Market Cap|Price|Circulating Supply|Volume (24h)|% 1h|% 24h|% 7d|Not Mineable|Significantly Premined
174|Bitcoin Plus|XBC|$275,075|$2.92|94,192|$4,173|-0.27%|-6.86%|-0.59%|True|False
175|ICO OpenLedger|ICOO|$272,781|$0.572712|476,297|Low Vol|-0.55%|0.53%|-6.26%|True|False
176|Rise|RISE|$269,509|$0.002510|107,387,215|$1,567|-0.42%|-14.82%|18.32%|True|False
177|Quark|QRK|$268,447|$0.001073|250,101,047|$807|-0.46%|-17.80%|-1.75%|False|False
178|LuckChain|BASH|$252,238|$0.000255|988,855,654|$465|4.45%|-10.65%|-39.86%|False|False
179|VootCoin|VOOT|$251,144|$0.003625|69,280,656|$214|0.31%|1.63%|5.80%|False|False
180|PutinCoin|PUTIN|$248,142|$0.002801|88,581,778|$43,801|0.13%|2.07%|-48.63%|False|False
181|Applecoin|APC|$247,227|$0.011093|22,286,048|$3,182|0.00%|-8.31%|-3.11%|True|False
182|Zeitcoin|ZEIT|$246,812|$0.000007|36,056,418,256|$160|-1.43%|-11.36%|-45.56%|False|False
183|Voxels|VOX|$246,154|$0.007814|31,500,000|$28,154|-0.31%|-6.87%|-0.52%|True|False
184|Janus|JNS|$245,911|$0.018490|13,299,305|$1,126|-0.09%|-6.95%|-16.82%|True|False
185|PinkCoin|PINK|$245,114|$0.000672|364,800,630|$10,939|0.91%|-1.24%|-4.54%|True|False
186|Scotcoin|SCOT|$237,989|$0.000238|1,000,000,000|$331|0.76%|12.54%|-2.38%|True|False
187|Zetacoin|ZET|$237,947|$0.001436|165,717,489|$1,058|0.73%|-7.91%|-10.56%|False|False
188|UniBURST|UNIBURST|$228,783|$0.228783|1,000,000|$775|0.74%|-19.95%|-22.24%|True|False
189|Horizon|HZ|$227,035|$0.000228|997,285,886|$3,453|0.61%|-3.81%|-11.80%|True|False
190|AudioCoin|ADC|$221,930|$0.000280|793,198,644|$277|0.67%|-0.27%|-11.15%|False|False
191|PRCoin|PRC|$221,713|$0.032030|6,922,054|$111,854|0.05%|-2.74%|-4.25%|False|True
192|UnionCoin|UNC|$221,136|$0.026361|8,388,608|$4,994|-0.46%|-0.69%|9.61%|False|False
